Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,SERP Features,Trend
vacation home rentals,320,68.3,1.39,0.26,739000000,"People Also Ask, FAQ","0.67,0.54,0.81,0.44,0.35,0.44,0.67,0.81,1.00,1.00,0.67,0.67"
vacation home rental agency,210,65.54,0,0.01,103000000,"Local Pack, People Also Ask","0.53,0.44,0.81,0.66,0.34,0.22,0.28,0.53,1.00,1.00,0.81,1.00"
caribbean vacation home rentals,90,61.34,0,0,26900000,,"0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.00,0.00,0.33,0.33,1.00"
fernandina beach vacation home rentals,90,53.21,0,0,488000,"Local Pack, Image Pack, Site Links, Video, People Also Ask, FAQ","0.25,0.25,0.25,0.00,0.25,1.00,0.00,0.00,0.00,0.00,0.25,0.25"
grand cayman vacation home rentals,90,56.49,0,0,838000,"Video, FAQ","0.00,1.00,0.25,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.25"
home away vacation rentals sarasota fl,90,72.88,0,0,11500000,"Image Pack, Reviews, FAQ","0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00"
san luis obispo vacation rental homes,90,54.91,0,0,618000,"Image Pack, Site Links, Reviews, FAQ","0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00"
scottsdale vacation rental homes,90,51.35,0,0,931000,"Image Pack, Video, Video Carousel, FAQ","0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.00,0.50,0.50,0.50,0.50"
vacation holiday homes rental llc,90,45.49,0,0,63900000,"Site Links, Reviews, Adwords Bottom","0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00"
vacation home rentals tucson az,90,49.21,0,0,961000,"Image Pack, Site Links, Video, Hotels Pack, FAQ","0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation rental homes poconos,90,55.58,0,0,165000,"Image Pack, Video, People Also Ask, FAQ","0.11,1.00,0.11,0.11,0.00,0.00,0.11,0.11,0.78,0.56,0.22,1.00"
amelia island vacation home rentals,70,50.08,0,0,849000,"Image Pack, Site Links","0.00,0.00,0.25,0.25,0.25,0.25,0.00,0.00,0.25,1.00,0.25,0.25"
bonita beach vacation home rentals,70,57.88,0,0,1110000,"Site Links, Video, FAQ","0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
breckenridge vacation home rentals,70,51.61,0,0,928000,FAQ,"0.14,0.71,0.14,0.14,0.14,0.57,0.14,0.14,0.14,1.00,0.29,0.29"
disney vacation home rentals orlando,70,57.43,0,0,3610000,"Image Pack, Reviews, FAQ","0.25,0.25,1.00,0.75,0.00,0.00,0.25,0.25,1.00,0.25,0.00,0.25"
historic home vacation rental,70,72.53,0,0,67000000,"Reviews, Adwords Top, FAQ","0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00"
home away vacation rentals palm springs,70,62.91,0,0,11600000,"Image Pack, Reviews, FAQ","0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
hot springs lake home vacation rental,70,49.83,0,0,50500000,"Image Pack, Reviews, Video, FAQ","0.20,0.00,0.00,0.20,0.00,0.00,1.00,0.00,1.00,0.20,0.20,0.20"
how to stock a vacation rental home,70,59.43,0,0,39500000,"Site Links, Video, People Also Ask","0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.00,0.00"
kona home vacation rentals,70,56.73,0,0,1030000,"Image Pack, Site Links, Reviews, Video, FAQ","0.14,0.14,1.00,0.14,0.14,0.14,0.71,0.29,0.14,0.14,0.14,0.14"
oahu hawaii rental vacation homes,70,64.17,0,0,539000,"Site Links, FAQ","0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
oak bluffs vacation rental homes,70,56.67,0,0,3120000,"Image Pack, Video, FAQ","0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
sierra vacation home rentals,70,65.46,0,0,33500000,"Knowledge Panel, Site Links, Reviews, Video","0.14,0.14,1.00,0.14,0.14,0.00,0.14,0.14,0.14,0.00,0.00,0.00"
solara resort vacation home rentals,70,43.65,0,0,550000,"Image Pack, Site Links, Video Carousel, FAQ","1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
south beach vacation home rentals,70,70.96,0,0,58600000,"Reviews, FAQ","0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.33"
vacation home rentals barcelona spain,70,69.63,0,0.57,2200000,"Hotels Pack, FAQ","0.00,0.00,1.00,0.14,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.29"
vacation home rentals in haines city florida,70,63.23,0,0,657000,"Site Links, Reviews, Video, Adwords Bottom, FAQ","0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals pensacola fl,70,58.07,0,0,752000,"Image Pack, Video, FAQ","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00"
vacation home rentals spain,70,60.21,0,0,14100000,"Reviews, Featured Snippet","0.11,0.11,0.11,0.11,0.11,0.56,0.11,0.11,0.11,0.11,1.00,0.11"
vacation home rentals uk,70,79.23,0,0.64,40200000,Site Links,"0.67,0.67,0.33,0.00,0.00,1.00,0.33,0.33,1.00,0.33,0.33,0.33"
vacation home rentals vancouver bc,70,64.82,0,0,3440000,"Image Pack, Video, FAQ","1.00,0.00,0.14,0.00,0.43,0.14,0.14,0.14,0.43,0.71,0.29,0.00"
vacation home rentals wisconsin dells,70,61.41,0,0,495000,"Local Pack, FAQ","0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation rental home insurance,70,51.82,0,0.43,67200000,"Featured Snippet, FAQ","0.11,0.11,0.78,0.11,0.11,0.56,0.11,0.22,0.11,1.00,0.33,0.22"
arizona vacation home rentals,50,0,0,0.07,0,,"0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25"
balboa island vacation home rentals,50,0,0,0,0,,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
carolina vacation home rentals,50,0,0,0,0,,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
clearwater vacation home rentals,50,0,0,0,0,,"0.00,0.00,0.50,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.00,1.00"
cyprus vacation home rentals,50,0,0,0.57,0,,"0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.29,0.14,0.00,1.00"
davenport vacation rental homes,50,0,0,0,0,,"0.00,0.14,0.29,1.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.71"
deer valley vacation rental homes,50,0,0,0,0,,"0.11,0.00,1.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00"
dunedin vacation home rentals,50,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
home away from home vacation rentals,50,0,0,0.14,0,,"0.00,1.00,0.50,0.25,0.25,0.25,0.00,0.25,0.50,0.25,0.25,0.25"
home away vacation rentals sarasota florida,50,0,0,0,0,,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
lake tahoe vacation home rentals by owner,50,0,0,0,0,,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25"
miami beach vacation home rentals,50,66.25,0.9,0.68,18900000,"Video, FAQ","0.22,0.22,0.11,0.33,0.11,1.00,1.00,0.44,0.11,0.11,0.11,0.11"
mobile home vacation rentals naples florida,50,0,0,0,0,,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
paia beach home vacation rental,50,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00"
san diego vacation home rentals,50,0,0,0.08,0,,"0.20,0.20,1.00,0.20,0.20,0.60,0.20,0.40,0.40,0.20,0.20,0.40"
sand explorer vacation homes rental llc,50,0,0,0,0,,"0.00,0.00,0.00,0.33,0.00,0.00,1.00,0.00,0.00,0.33,0.00,0.00"
siesta key vacation home rentals,50,0,0,0,0,,"0.40,0.20,0.40,1.00,0.20,0.00,0.60,0.00,0.00,0.00,0.00,0.20"
st croix vacation home rentals,50,0,0,0,0,,"0.00,0.00,0.00,0.00,0.40,0.20,0.20,0.00,0.00,0.00,1.00,0.20"
st petersburg fl vacation home rentals,50,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00"
top vacation home rental websites,50,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals california,50,0,0,0.14,0,,"0.14,0.14,0.14,0.14,0.57,1.00,0.14,0.14,0.29,0.14,0.29,0.71"
vacation home rentals falmouth ma,50,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation rentals jekyll island waterfront homes,50,0,0,0,0,,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
anna maria island vacation home rentals,40,0,0,0,0,,"0.00,1.00,0.33,0.00,0.33,0.33,0.00,0.33,0.67,0.67,0.33,0.67"
canada vacation home rentals,40,0,0,0,0,,"0.11,0.11,0.78,0.22,0.22,0.11,0.11,0.11,0.11,0.11,1.00,0.11"
gulf shores vacation home rentals,40,0,0,0,0,,"0.75,0.25,0.25,0.50,0.00,0.00,0.25,0.50,0.25,0.25,0.25,1.00"
